"","observationUnitName","germplasmDbId","variable","value","resids"
"609","Adv_Urb_20-plot449","96941","Grain.test.weight...lbs.bu",55.7223965667945,3.20203995372847
"642","Adv_Urb_20-plot512","96869","Grain.test.weight...lbs.bu",50.7687679469093,-3.06953176865334
"701","AdvHY_Urb_20-plot10101","96752","Grain.test.weight...lbs.bu",51.6220245536704,-3.06538755689779
"856","AdvHY_Urb_20-plot30116","96752","Grain.test.weight...lbs.bu",60.1782921634794,3.06538755689777
"12","MAM_Scb_15-plot1001","95339","FHB.DON.content...ppm.",4.1,-3.20063896637068
"40","MAM_Scb_15-plot1040","100369","FHB.DON.content...ppm.",1.4,-3.00794808286929
"2593","MAM_Scb_15-plot1073","98427","Plant.height.inches",22.00001188,-4.44414420482011
"2174","MAM_Scb_15-plot1158","84968","Heading.time...Julian.date..JD..",133,3.46962429657883
"2181","MAM_Scb_15-plot1165","100720","Heading.time...Julian.date..JD..",120,-4.64301136148243
"2266","MAM_Scb_15-plot1250","95474","Heading.time...Julian.date..JD..",120,-3.46116790239365
"2267","MAM_Scb_15-plot1251","91885","Heading.time...Julian.date..JD..",120,-3.46116790239365
"2269","MAM_Scb_15-plot2001","95474","Heading.time...Julian.date..JD..",133,3.23693183169567
"2280","MAM_Scb_15-plot2012","91885","Heading.time...Julian.date..JD..",133,3.23693183169566
"2299","MAM_Scb_15-plot2031","100720","Heading.time...Julian.date..JD..",140,4.52704565995609
"298","MAM_Scb_15-plot2046","100369","FHB.DON.content...ppm.",9.5,3.0079480828693
"308","MAM_Scb_15-plot2056","95339","FHB.DON.content...ppm.",11.4,3.20063896637066
"2931","MAM_Scb_15-plot2159","98427","Plant.height.inches",38.00002052,4.44414420482009
"2485","MAM_Scb_15-plot2217","84968","Heading.time...Julian.date..JD..",120,-3.66954065922148
"36","NU_Scb_15-plot136","100116","FHB.DON.content...ppm.",8.8,3.21053917714538
"113","NU_Scb_15-plot249","100116","FHB.DON.content...ppm.",0.3,-3.21053917712821
"41","NU_Scb_16-plot104","100558","FHB.DON.content...ppm.",10,3.07876128165541
"58","NU_Scb_16-plot204","100558","FHB.DON.content...ppm.",4.1,-3.07876128165541
"134","ORG_Dan_19-plot214","97938","Plant.height.inches",39.00002106,3.52588023392927
"13","P5S_Urb_15-plot101","99389","Grain.test.weight...lbs.bu",52.7,-3.89912629548243
"124","P5S_Urb_15-plot124","98949","Grain.yield...bu.ac",60.8,-3.42787459319593
"495","P5S_Urb_15-plot420","99390","Plant.height.inches",33.00001782,-3.73504774489106
"498","P5S_Urb_15-plot423","99393","Plant.height.inches",35.0000189,-3.2649812593641
"236","P5S_Urb_20-plot111","240423","Heading.time...Julian.date..JD..",128,-4.2306337528261
"37","P5S_Urb_20-plot212","240786","FHB.plant.response...1.9.response.scale.",4,-3.61983475043745
"208","P6S_Scb_19-plot110","84801","FHB.incidence.....",95,3.09033760030557
"264","P6S_Scb_19-plot233","84801","FHB.incidence.....",30,-3.04641505441162
"538","PNU_Scb_16-plot332","93425","FHB.severity.....",94.3,3.02712342485297
"404","PNU_Scb_17-plot328","100618","FHB.severity.....",10,-3.38077048406521
"5019","Pr_Scb_20-plot1264","240804","Heading.time...Julian.date..JD..",131,-3.00285435482053
"1311","Pr_Scb_20-plot2043","240803","FHB.grain.incidence.....",45,3.63934013241661
"4194","Pr_Scb_20-plot2073","240496","Grain.test.weight...lbs.bu",59.97522853192,3.43790298481471
"4215","Pr_Scb_20-plot2094","240683","Grain.test.weight...lbs.bu",51.58491158704,-3.45845814078017
"1393","Pr_Scb_20-plot2125","240454","FHB.grain.incidence.....",45,3.00874564346403
"5217","Pr_Scb_20-plot2145","240804","Heading.time...Julian.date..JD..",138,3.42819146082961
"4267","Pr_Scb_20-plot2146","240573","Grain.test.weight...lbs.bu",50.03114918984,-4.43036808937855
"5220","Pr_Scb_20-plot2148","84789","Heading.time...Julian.date..JD..",147,3.30121331818374
"5236","Pr_Scb_20-plot2164","240866","Heading.time...Julian.date..JD..",129,-3.48179400753919
"1437","Pr_Scb_20-plot2169","240566","FHB.grain.incidence.....",70,5.10571923610616
"4318","Pr_Scb_20-plot2197","240851","Grain.test.weight...lbs.bu",49.40964423096,-3.64733963946685
"1564","Pr_Scb_20-plot2296","240850","FHB.grain.incidence.....",60,4.43839318958139
"4467","Pr_Scb_20-plot3029","240496","Grain.test.weight...lbs.bu",50.65265414872,-4.68676423754922
"2638","Pr_Scb_20-plot3102","240656","FHB.incidence.....",90,3.01343267796874
"4645","Pr_Scb_20-plot3207","240465","Grain.test.weight...lbs.bu",51.2741591076,-3.57229154320342
"1813","Pr_Scb_20-plot3228","240557","FHB.grain.incidence.....",50,3.2198882194294
"1821","Pr_Scb_20-plot3236","240560","FHB.grain.incidence.....",60,3.56152563737243
"5","Pr_StJ_20-plot105","240825","Grain.test.weight...lbs.bu",48.2564012809413,-3.98844383737028
"198","Pr_StJ_20-plot330","240662","Grain.test.weight...lbs.bu",60.0834858781553,3.62394001349273
"226","Pr_StJ_20-plot358","240825","Grain.test.weight...lbs.bu",60.0360827316088,3.98844383737019
"407","Pr_StJ_20-plot571","240662","Grain.test.weight...lbs.bu",49.0385531678827,-3.62394001349279
"654","Pr_Urb_20-plot124","240551","Grain.test.weight...lbs.bu",58.1399569474384,3.46123928446649
"850","Pr_Urb_20-plot410","240551","Grain.test.weight...lbs.bu",53.6840613429846,-3.46123928446658
"853","Pr_Urb_20-plot413","240523","Grain.test.weight...lbs.bu",53.9210770679482,-3.44759037444467
"1111","Pr_Urb_20-plot761","240523","Grain.test.weight...lbs.bu",58.5428836697769,3.44759037444451
"493","Pr5_Brt_15-plot105","96084","Grain.test.weight...lbs.bu",53.5,3.69376012425261
"501","Pr5_Brt_15-plot113","96094","Grain.test.weight...lbs.bu",42.7,-5.12683503549857
"593","Pr5_Brt_15-plot215","96084","Grain.test.weight...lbs.bu",44.9,-3.69376012425444
"616","Pr5_Brt_15-plot238","96094","Grain.test.weight...lbs.bu",52.1,5.12683503549673
"61","Pr1_Neo_17-plot106","84997","Grain.test.weight...lbs.bu",49.6,-3.07127237857622
"1611","Pr1_Neo_17-plot277","84997","Grain.test.weight...lbs.bu",55.2,3.0712723785762
"14","Pr1_Neo_18-plot101","84789","Grain.test.weight...lbs.bu",51.3,-3.02689333719024
"15","Pr1_Neo_18-plot115","96705","Grain.test.weight...lbs.bu",56,4.22252145600759
"43","Pr1_Neo_18-plot143","96938","Grain.test.weight...lbs.bu",56,3.3058665793367
"2811","Pr2_Neo_18-plot229","96636","Grain.test.weight...lbs.bu",56.1,4.50122002296358
"1503","Pr2_Scb_15-plot253","96134","FHB.incidence.....",20,-3.36795728361746
"681","Pr4_Scb_15-plot127","96052","FHB.grain.incidence.....",40,3.01820838068657
"3131","Pr4_Scb_15-plot189","96080","FHB.severity.....",75.4,3.11130666787947
"822","Pr4_Scb_15-plot278","96079","FHB.grain.incidence.....",45,3.10758601256037
"855","Pr4_Scb_15-plot321","96049","FHB.grain.incidence.....",70,4.85598404996077
"861","Pr4_Scb_15-plot327","96020","FHB.grain.incidence.....",55,3.16230670907729
"884","Pr4_Scb_15-plot350","96033","FHB.grain.incidence.....",50,3.2858988028213
"2126","Pr5_Scb_15-plot108","84699","FHB.incidence.....",65,3.11201217500617
"1015","Pr5_Scb_15-plot201","96184","FHB.grain.incidence.....",50,3.45538392337431
"1148","Pr5_Scb_15-plot344","96108","FHB.grain.incidence.....",60,3.56746738682246
"3524","Pr4_Scb_16-plot380","96462","FHB.severity.....",91.4,3.03116779491923
"3589","Pr5_Scb_16-plot161","85003","FHB.severity.....",85.7,3.16081955924306
"3730","Pr5_Scb_16-plot334","96502","FHB.severity.....",92.9,3.07649278583353
"5024","Pr1_Scb_19-plot364","97253","FHB.severity.....",80,3.09695634538974
"6718","Pr2_Scb_19-plot176","97084","Heading.time...Julian.date..JD..",142,3.20363547767184
"5314","Pr3_Scb_19-plot110","97099","FHB.severity.....",70,3.57518590474445
"5701","Pr4_Scb_19-plot253","97199","FHB.severity.....",85,3.75023258427772
"920","Pr4_Scb_19-plot260","84789","FHB.DON.content...ppm.",26.2,3.6566844113097
"5797","Pr4_Scb_19-plot363","84801","FHB.severity.....",70,4.05613754261781
"1045","Pr5_Scb_19-plot113","100800","FHB.DON.content...ppm.",28.1,3.20931659614205
"1172","Pr5_Scb_19-plot254","100800","FHB.DON.content...ppm.",7.2,-3.20931659614204
"1497","Pr7_Scb_19-plot197","84900","FHB.DON.content...ppm.",10.8,-3.54577364494366
"16","Pr1_Urb_15-plot101","84789","Grain.test.weight...lbs.bu",51.1,-4.54528315450535
"1699","Pr4_Urb_15-plot155","96042","Heading.time...Julian.date..JD..",126,-3.3844651427819
"1776","Pr4_Urb_15-plot242","96042","Heading.time...Julian.date..JD..",131,3.3844651427821
"3180","Pr5_Urb_15-plot120","96102","Plant.height.inches",36.00001944,-3.72876827038585
"3256","Pr5_Urb_15-plot206","96102","Plant.height.inches",48.00002592,3.72876827038587
"51","Pr1_Urb_16-plot105","84958","Grain.test.weight...lbs.bu",47,-3.60797706762813
"67","Pr1_Urb_16-plot167","96600","Grain.test.weight...lbs.bu",45.1,-3.04172233235191
"93","Pr1_Urb_16-plot209","96600","Grain.test.weight...lbs.bu",54.7999999999999,3.04172233235181
"1241","Pr1_Urb_16-plot240","84958","Grain.test.weight...lbs.bu",58.5,3.60797706762809
"18211","Pr1_Urb_16-plot257","84968","Heading.time...Julian.date..JD..",125,-4.96437044659586
"1884","Pr2_Urb_16-plot136","96336","Heading.time...Julian.date..JD..",129,3.56311927322661
"2769","Pr2_Urb_16-plot181","96384","Lodging.incidence...0.9.percentage.scale.",1,-3.07037844211738
"2845","Pr2_Urb_16-plot273","96384","Lodging.incidence...0.9.percentage.scale.",9,3.07037844211739
"2006","Pr2_Urb_16-plot274","96336","Heading.time...Julian.date..JD..",122,-3.56311927322661
"700","Pr5_Urb_16-plot128","96544","Grain.test.weight...lbs.bu",54.6,4.14179657738615
"3310","Pr5_Urb_16-plot234","84968","Lodging.incidence...0.9.percentage.scale.",6,3.01048659259832
"803","Pr5_Urb_16-plot247","96544","Grain.test.weight...lbs.bu",45.4,-4.14179657738626
"511","Pr1_Urb_17-plot151","85107","Heading.time...Julian.date..JD..",121,3.04060692857926
"95","Pr1_Urb_17-plot211","85107","Heading.time...Julian.date..JD..",118,-3.04060692857928
"5131","Pr4_Urb_17-plot109","84700","Heading.time...Julian.date..JD..",121,5.00875172343481
"524","Pr4_Urb_17-plot120","84786","Heading.time...Julian.date..JD..",117,-3.90093369519273
"559","Pr4_Urb_17-plot155","84893","Heading.time...Julian.date..JD..",117,3.02882163040647
"589","Pr4_Urb_17-plot201","84786","Heading.time...Julian.date..JD..",121,3.90093369519271
"634","Pr4_Urb_17-plot246","84893","Heading.time...Julian.date..JD..",114,-3.0288216304065
"643","Pr4_Urb_17-plot255","84700","Heading.time...Julian.date..JD..",116,-5.00875172343484
"1682","Pr1_Urb_18-plot102","84900","Heading.time...Julian.date..JD..",133,-3.10995897837657
"512","Pr1_Urb_18-plot151","96947","Grain.test.weight...lbs.bu",56.4,6.01162512858293
"71","Pr1_Urb_18-plot171","96967","Grain.test.weight...lbs.bu",53.8999999999999,4.28694924465071
"74","Pr1_Urb_18-plot174","96970","Grain.test.weight...lbs.bu",53.4999999999999,5.32021394206716
"86","Pr1_Urb_18-plot202","96970","Grain.test.weight...lbs.bu",46.5,-5.32021394206715
"114","Pr1_Urb_18-plot230","96967","Grain.test.weight...lbs.bu",48.3999999999999,-4.28694924465069
"142","Pr1_Urb_18-plot258","96947","Grain.test.weight...lbs.bu",48.3999999999999,-6.01162512858291
"2719","Pr2_Urb_18-plot131","97007","Lodging.incidence...0.9.percentage.scale.",1,-4.58751775320302
"2847","Pr2_Urb_18-plot275","97007","Lodging.incidence...0.9.percentage.scale.",7,4.58751775320298
"1233","Pr3_Urb_18-plot157","96731","Grain.yield...bu.ac",90.3999999999999,3.78285044056409
"1275","Pr3_Urb_18-plot215","96731","Grain.yield...bu.ac",60.8,-3.78608527295057
"2354","Pr5_Urb_18-plot102","84900","Heading.time...Julian.date..JD..",137,3.0581120296699
"3213","Pr5_Urb_18-plot121","96871","Lodging.incidence...0.9.percentage.scale.",1,-3.54775805684688
"3252","Pr5_Urb_18-plot160","96911","Lodging.incidence...0.9.percentage.scale.",1,-4.33370582007893
"3276","Pr5_Urb_18-plot184","98169","Lodging.incidence...0.9.percentage.scale.",1,-3.78630675579844
"3290","Pr5_Urb_18-plot214","98169","Lodging.incidence...0.9.percentage.scale.",6,3.78630675579841
"3316","Pr5_Urb_18-plot240","84968","Lodging.incidence...0.9.percentage.scale.",6,5.10104516708819
"3321","Pr5_Urb_18-plot245","96911","Lodging.incidence...0.9.percentage.scale.",7,4.33370582007891
"3345","Pr5_Urb_18-plot269","96871","Lodging.incidence...0.9.percentage.scale.",6,3.54775805684685
