"","germplasmDbId","studyName","studyDescription","studyYear","studyDesign","locationName","germplasmName","Heading.time...Julian.date..JD..","rank","Plant.height.inches","rank"
"110.1","98931","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","KY07C-1145-94-12-5",135.88,51,34.84,92
"26","281180","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","20-UMD-133",136.83,94,31.82,32
"111","99368","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","MI16R0898",137.75,126,35.34,110
"17.1","280853","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","OH16-184-77",137.17,114,30.46,5
"39.1","281193","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","TWR 09014",136.25,66,35.23,107
"11","240887","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","X11-0357-24-13-5",138.89,136,33.87,67
"14.1","280817","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","KWS340",137.12,112,35.09,100
"110.2","98931","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","KY07C-1145-94-12-5",135.88,51,34.84,92
"89","283369","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","P2140",138.62,135,32.82,47
"2","100220","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","OH15-131-31",136.85,96,33.92,69
"93","84655","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","IL15-4957",133.26,15,35.66,116
"78","283358","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","P2129",135.36,43,30.55,7
"38","281192","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","TWR 09009",135.6,45,35.93,121
"83","283363","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","P2134",136.8,92,37.09,137
"63","282825","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","X12-974-18-13-3",136.82,93,30.66,10
"91","283371","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","P2142",133.55,20,31.12,17
"23","280864","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","X12-3024-47-4-1",136.78,91,33.48,62
"100","85074","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","Pio 25R46",136.58,78,34.28,78
"51.1","282729","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","X12-3014-46-8-5",136.93,98,34.48,87
"35","281189","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","MI18R0875",133.02,10,34.45,85
"5","100842","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","US16-IL-061-029",132.78,8,35.46,112
"101.1","85178","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","Hilliard",135.94,55,36.23,125
"70","283350","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","P2121",136.39,70,34.44,82
"9","240786","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","OH16-167-76",133.25,13,31.14,18
"15.1","280818","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","KWS341",137.35,116,33.01,50
"18.1","280854","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","OH17-124-70",136.68,83,35.77,118
"54","282816","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","20PU-0082",136.61,80,34.78,89
"36.1","281190","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","MI18R1605",133.7,24,33.07,53
"87","283367","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","P2138",138.48,133,36.49,130
"95","84759","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","07-20728",135.07,39,36.71,131
"74","283354","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","P2125",135.3,41,31.96,36
"25","281179","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","10523RA1-21-42",135.69,46,35.03,99
"3","100222","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","OH15-191-52",137.45,119,33.21,57
"55","282817","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","20PU-0094",136.77,90,38.21,140
"45.1","282723","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","MI18W0286",136.32,68,31.89,33
"50","282728","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","P2117",133.56,21,32.75,45
"64","283344","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","P2114",135.98,59,30.2,3
"102","93422","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","05247A1-7-3-98",134.26,34,33.97,70
"8","240706","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","DH15SRW67-151",139.86,148,30.85,14
"103","94122","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","0762A1-2-8",136.62,81,31.46,25
"76","283356","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","P2127",137.89,129,35.75,117
"84","283364","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","P2135",134.11,33,35.6,115
"4","100570","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","Pio 25R74",136.39,70,34.17,74
"44","282722","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","MI18W0200",131.13,3,30.67,11
"48.1","282726","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","P2106",139.1,141,36.11,122
"88","283368","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","P2139",138.96,139,31.4,24
"94.1","84723","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","MO080104",135.79,47,36.37,127
"73","283353","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","P2124",135.05,38,32.1,37
"98","84955","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","Branson",133.69,23,35.78,120
"69","283349","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","P2120",139.43,145,34.44,82
"13.1","280814","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","DH15SRW65-53",137.04,108,29.92,1
"35.1","281189","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","MI18R0875",133.02,10,34.45,85
"37.1","281191","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","NS16VW516463",135.8,49,32.54,42
"50.1","282728","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","P2117",133.56,21,32.75,45
"99.2","84968","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","IL07-19334",137.02,105,36.73,133
"80","283360","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","P2131",137.47,121,30.83,13
"75","283355","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","P2126",136.43,73,31.31,20
"8.1","240706","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","DH15SRW67-151",139.86,148,30.85,14
"49","282727","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","P2112",139.22,143,33.83,66
"96.1","84789","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","Kaskaskia",136.69,85,39.47,145
"103.1","94122","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","0762A1-2-8",136.62,81,31.46,25
"92","283372","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","P2143",133.04,12,36.76,136
"5.1","100842","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","US16-IL-061-029",132.78,8,35.46,112
"11.1","240887","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","X11-0357-24-13-5",138.89,136,33.87,67
"41","281195","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","X12-3010-4-4-1",138.2,132,34.8,90
"52","282730","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","X12-3035-50-3-3",137.42,118,33.14,55
"67","283347","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","P2118",136.06,62,34.44,82
"81","283361","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","P2132",136.98,101,33.69,65
"96.2","84789","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","Kaskaskia",136.69,85,39.47,145
"61","282823","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","X12-3035-50-6-5",137.92,130,32.93,49
"106.1","96907","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","IL16-36206",132.45,6,34.11,72
"27.1","281181","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","20-UMD-18",136.98,101,31.54,28
"95.1","84759","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","07-20728",135.07,39,36.71,131
"20","280856","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","OH17-206-73",137.06,110,32.3,41
"34.1","281188","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","LES19-7191",137.63,122,31.39,22
"9.1","240786","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","OH16-167-76",133.25,13,31.14,18
"21","280857","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","OH17-21-11",134.05,30,34.95,96
"65","283345","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","P2115",136.54,76,31.53,27
"40","281194","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","TWR 09052",136.17,65,32.29,40
"47.1","282725","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","P2105",139.68,146,35.01,97
"43.1","282721","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","MI18W0144",136.05,60,35.22,105
"7","240447","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","16VDH-SRW03-023",137.01,104,33.19,56
"58","282820","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","MI18R1607",135.44,44,36.47,129
"24.1","280867","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","X12-3114-65-7-1",135.96,57,33.3,58
"30.1","281184","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","ARDH13216-12",134.05,30,35.14,102
"97","84801","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","IL07-4415",131.97,5,33.46,61
"10.1","240787","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","OH16-168-48",133.29,16,30.57,8
"109","97161","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","IL17-23904",133.52,19,34.28,78
"111.1","99368","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","MI16R0898",137.75,126,35.34,110
"60","282822","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","X11-0414-116-11-3",134.78,37,35.48,114
"31.1","281185","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","ARDH14002-22-0260N",136.76,88,37.15,138
"4.1","100570","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","Pio 25R74",136.39,70,34.17,74
"1","100061","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","X11-0039-1-17-5",135.92,54,32.84,48
"68","283348","CC_Urb_21","Combined Cooperative Trial at Urbana, IL [2021]","2021","p-rep","Urbana, IL","P2119",136.59,79,34.33,80
"151","","","","","","","MEAN",136.11,NA,34.12,NA
"152","","","","","","","SE",0.48,NA,1.16,NA
"153","","","","","","","LSD",1.33,NA,3.1,NA
"154","","","","","","","No. of Reps",2.7,NA,2.7,NA
"155","","","","","","","CV",0.6,NA,5.6,NA
